dataSource,agency,country,entity,field,targetField,startDate,endDate,rulesOrder,matchType,condition,results
cm360,OMD,ES,ESAXA,,entity,,,6,default,,"""axa-es-seguros"""
googleads,OMD,ES,ESAXA,,entity,,,15,default,,"""axa-es-seguros"""
bingads,OMD,ES,ESAXA,,entity,,,8,default,,"""axa-es-seguros"""
outbrain,Jakala,ES,ESALL,,entity,,,3,default,,"""axa-es-seguros"""
googleads,OMD,ES,ESAXA,,entity,,,13,default,,"""axa-es-seguros"""
facebookads,OMD,ES,ESAXA,,entity,,,16,default,,"""axa-es-seguros"""
cm360,Jakala,ES,ESALL,,entity,,,4,default,,"""axa-es-seguros"""
bingads,OMD,ES,ESAXA,,platform_or_publisher,,,1,default,,"""bing"""
bingads,OMD,ES,ESAXA,,mediapartner_saleshouse,,,1,default,,"""bing"""
outbrain,Jakala,ES,ESALL,,buying_type,,,11,default,,"""cpc"""
googleads,OMD,ES,ESAXA,,buying_type,,,1,default,,"""cpc"""
googleads,OMD,ES,ESAXA,,platform_or_publisher,,,3,default,,"""google"""
googleads,OMD,ES,ESAXA,,mediapartner_saleshouse,,,3,default,,"""google"""
facebookads,OMD,ES,ESAXA,,platform_or_publisher,,,5,default,,"""meta"""
facebookads,OMD,ES,ESAXA,,mediapartner_saleshouse,,,5,default,,"""meta"""
cm360,Jakala,ES,ESALL,,media_level_2,,,6,regexp-contains,"""cpc""","""native"""
outbrain,Jakala,ES,ESALL,,media_level_2,,,5,default,,"""native"""
outbrain,Jakala,ES,ESALL,,media_level_1,,,9,default,,"""online_display"""
cm360,Jakala,ES,ESALL,,media_level_1,,,10,default,,"""online_display"""
bingads,OMD,ES,ESAXA,,media_level_2,,,4,default,,"""paid-search"""
googleads,OMD,ES,ESAXA,,media_level_1,,,2,default,,"""paid-search"""
googleads,OMD,ES,ESAXA,,media_level_2,,,2,default,,"""paid-search"""
bingads,OMD,ES,ESAXA,,media_level_1,,,4,default,,"""paid-search"""
facebookads,OMD,ES,ESAXA,,media_level_1,,,5,default,,"""paid-social"""
outbrain,Jakala,ES,ESALL,,stream,,,3,default,,"""performance"""
cm360,Jakala,ES,ESALL,,stream,,,4,default,,"""performance"""
cm360,Jakala,ES,ESALL,,media_level_2,,,7,regexp-contains,"""cpm""","""standard-format"""
outbrain,Jakala,ES,ESALL,,campaign_platform,,,3,default,,campaign_name
facebookads,OMD,ES,ESAXA,,campaign_platform,,,11,default,,campaign_name
cm360,Jakala,ES,ESALL,,campaign_platform,,,4,default,,campaign_name
cm360,OMD,ES,ESAXA,,campaign_platform,,,5,default,,campaign_name
googleads,OMD,ES,ESAXA,,campaign_platform,,,10,default,,campaign_name
bingads,OMD,ES,ESAXA,,campaign_platform,,,7,default,,campaign_name
googleads,OMD,ES,ESAXA,advertiser,entity,,,11,calculation,"= ""AXA Vida""","""axa-es-aurora"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,32,regexp-contains,"""auto_""","""auto"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,62,regexp-contains,"""auto_""","""auto"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,52,regexp-contains,"""auto_""","""auto"""
facebookads,OMD,ES,ESAXA,campaign_name,campaign_objective,,,2,regexp-extract,,"""awareness"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,58,regexp-contains,"""bici""","""bike"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,68,regexp-contains,"""bici""","""bike"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,38,regexp-contains,"""bici""","""bike"""
googleads,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,4,regexp-contains,"""_BRA_""","""brand"""
bingads,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,10,regexp-contains,"""_BRA_""","""brand"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,70,regexp-extract,,"""dental"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,40,regexp-extract,,"""dental"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,60,regexp-extract,,"""dental"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,39,regexp-contains,"""pesca""","""fishing"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,59,regexp-contains,"""pesca""","""fishing"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,69,regexp-contains,"""pesca""","""fishing"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,64,regexp-contains,"""salud""","""health"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,34,regexp-contains,"""salud""","""health"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,54,regexp-contains,"""salud""","""health"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,56,regexp-contains,"""hogar""","""home"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,36,regexp-contains,"""hogar""","""home"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,66,regexp-contains,"""hogar""","""home"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,37,regexp-contains,"""caza""","""hunting"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,67,regexp-contains,"""caza""","""hunting"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,57,regexp-contains,"""caza""","""hunting"""
facebookads,OMD,ES,ESAXA,campaign_name,campaign_objective,,,3,regexp-contains,"""lead-generation""","""lead"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,33,regexp-contains,"""vida""","""life"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,53,regexp-contains,"""vida""","""life"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,63,regexp-contains,"""vida""","""life"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,55,regexp-contains,"""moto""","""motorbike"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,35,regexp-contains,"""moto""","""motorbike"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,65,regexp-contains,"""moto""","""motorbike"""
googleads,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,5,regexp-contains,"""_GNC_""","""non-brand"""
bingads,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,12,regexp-contains,"""_GEN_""","""non-brand"""
googleads,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,6,regexp-contains,"""_GEN_""","""non-brand"""
bingads,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,11,regexp-contains,"""_GNC_""","""non-brand"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,11,regexp-contains,"""_pros_""","""prospecting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,1,regexp-contains,"""_pros_""","""prospecting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,12,regexp-contains,"""prospecting""","""prospecting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,2,regexp-contains,"""prospecting""","""prospecting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,21,regexp-contains,"""_pros_""","""prospecting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,22,regexp-contains,"""prospecting""","""prospecting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,5,regexp-contains,"""rtg""","""retargeting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,3,regexp-contains,"""_ret_""","""retargeting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,13,regexp-contains,"""_ret_""","""retargeting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,15,regexp-contains,"""rtg""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,23,regexp-contains,"""_ret_""","""retargeting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,4,regexp-contains,"""retargeting""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,25,regexp-contains,"""rtg""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,24,regexp-contains,"""retargeting""","""retargeting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,14,regexp-contains,"""retargeting""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,61,regexp-contains,"""autonomos""","""self-employed insurance"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,51,regexp-contains,"""autonomos""","""self-employed insurance"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,31,regexp-contains,"""autonomos""","""self-employed insurance"""
facebookads,OMD,ES,ESAXA,campaign_name,campaign_objective,,,1,regexp-extract,,"""traffic"""
googleads,OMD,ES,ESAXA,date,week,,,9,default,,EXTRACT(WEEK FROM date)
cm360,OMD,ES,ESAXA,date,week,,,4,default,,EXTRACT(WEEK FROM date)
facebookads,OMD,ES,ESAXA,date,week,,,10,default,,EXTRACT(WEEK FROM date)
bingads,OMD,ES,ESAXA,date,week,,,6,default,,EXTRACT(WEEK FROM date)
outbrain,Jakala,ES,ESALL,date,week,,,3,default,,EXTRACT(WEEK FROM date)
cm360,Jakala,ES,ESALL,date,week,,,13,default,,EXTRACT(WEEK FROM date)
cm360,Jakala,ES,ESALL,mediapartner_saleshouse,mediapartner_saleshouse,,,7,default,,"REPLACE(SPLIT(mediapartner_saleshouse, '_')[SAFE_OFFSET(2)], "" "", """")"
cm360,Jakala,ES,ESALL,placement,creative_format,,,1,regexp-extract,,"""([0-9]+x[0-9]+)"""
cm360,Jakala,ES,ESALL,placement,product,,,81,regexp-contains,"""auto_""","""auto"""
cm360,OMD,ES,ESAXA,placement,product,,,2,regexp-contains,"""auto_""","""auto"""
cm360,OMD,ES,ESAXA,placement,product,,,8,regexp-contains,"""bici""","""bike"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,7,regexp-extract,,"""cpc"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,12,regexp-extract,,"""cpc"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,14,regexp-extract,,"""cpl"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,9,regexp-extract,,"""cpl"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,8,regexp-extract,,"""cpm"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,13,regexp-extract,,"""cpm"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,15,regexp-extract,,"""cpv"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,10,regexp-extract,,"""cpv"""
cm360,OMD,ES,ESAXA,placement,product,,,10,regexp-extract,,"""dental"""
cm360,OMD,ES,ESAXA,placement,product,,,9,regexp-contains,"""pesca""","""fishing"""
cm360,Jakala,ES,ESALL,placement,product,,,82,regexp-extract,,"""health"""
cm360,OMD,ES,ESAXA,placement,product,,,4,regexp-contains,"""salud""","""health"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,3,regexp-contains,"""salud""","""health"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,2,regexp-contains,"""health""","""health"""
cm360,OMD,ES,ESAXA,placement,product,,,6,regexp-contains,"""hogar""","""home"""
cm360,OMD,ES,ESAXA,placement,product,,,7,regexp-contains,"""caza""","""hunting"""
cm360,OMD,ES,ESAXA,placement,product,,,3,regexp-contains,"""vida""","""life"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,12,regexp-contains,"""moto""","""motor"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,9,regexp-contains,"""auto_""","""motor"""
cm360,OMD,ES,ESAXA,placement,product,,,5,regexp-contains,"""moto""","""motorbike"""
cm360,Jakala,ES,ESALL,placement,product,,,83,regexp-contains,"""moto""","""motorbike"""
cm360,Jakala,ES,ESALL,placement,creative_type,,,2,regexp-contains,"""_1x1_""","""native-content"""
cm360,Jakala,ES,ESALL,placement,creative_type,,,1,regexp-contains,"""native""","""native-content"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,1,regexp-contains,"""auto_""","""pc-personal-lines"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,4,regexp-contains,"""moto""","""pc-personal-lines"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,11,regexp-contains,"""salud""","""personal-health"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,10,regexp-contains,"""health""","""personal-health"""
cm360,OMD,ES,ESAXA,placement,media_target,,,37,regexp-contains,"""prospecting""","""prospecting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,36,regexp-contains,"""_pros_""","""prospecting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,39,regexp-contains,"""rtg""","""retargeting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,38,regexp-contains,"""_ret_""","""retargeting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,40,regexp-contains,"""retargeting""","""retargeting"""
cm360,OMD,ES,ESAXA,placement,product,,,1,regexp-contains,"""autonomos""","""self-employed insurance"""
cm360,Jakala,ES,ESALL,placement,creative_type,,,3,regexp-contains,"""banner""","""static-visual"""